-0.955078,0.330582,2.18018,-2.06301,-1.7934,1.44637,0.267902,
-0.955073,0.33036,2.17994,-2.0628,-1.79336,1.44642,0.26795,
-0.95507,0.330362,2.17994,-2.06279,-1.79335,1.44642,0.26795,
-0.95507,0.330357,2.17994,-2.06279,-1.79335,1.44642,0.267948,
-0.955072,0.330357,2.17994,-2.06279,-1.79335,1.44642,0.267952,
-0.955065,0.330354,2.17994,-2.06279,-1.79335,1.44642,0.267949,
-0.955284,0.331097,2.1814,-2.06362,-1.79387,1.44524,0.268394,
-0.965823,0.375418,2.27126,-2.11907,-1.83173,1.36872,0.294943,
-0.975146,0.4146,2.35099,-2.16714,-1.86538,1.30129,0.318718,
-0.975158,0.414602,2.35098,-2.16713,-1.8654,1.30128,0.318737,
